pais;ano;quantidade_valor;quantidade_kg;type
bolivia;1976;0;0;importacao_vinhos_de_mesa
bosnia-herzegovina;1976;0;0;importacao_vinhos_de_mesa
brasil;1976;0;0;importacao_vinhos_de_mesa
bulgaria;1976;0;0;importacao_vinhos_de_mesa
canada;1976;0;0;importacao_vinhos_de_mesa
chile;1976;1574474;2175650;importacao_vinhos_de_mesa
china;1976;0;0;importacao_vinhos_de_mesa
coreia do sul, republica;1976;0;0;importacao_vinhos_de_mesa
croacia;1976;0;0;importacao_vinhos_de_mesa
cuba;1976;0;0;importacao_vinhos_de_mesa
emirados arabes unidos;1976;0;0;importacao_vinhos_de_mesa
eslovênia;1976;0;0;importacao_vinhos_de_mesa
eslovaquia;1976;0;0;importacao_vinhos_de_mesa
espanha;1976;41000;52474;importacao_vinhos_de_mesa
estados unidos;1976;2575;1800;importacao_vinhos_de_mesa
franca;1976;423696;284613;importacao_vinhos_de_mesa
georgia;1976;0;0;importacao_vinhos_de_mesa
georgia do sul e sawich do sul, ilhas;1976;0;0;importacao_vinhos_de_mesa
grecia;1976;0;0;importacao_vinhos_de_mesa
hong kong;1976;0;0;importacao_vinhos_de_mesa
hungria;1976;0;0;importacao_vinhos_de_mesa
ionesia;1976;0;0;importacao_vinhos_de_mesa
irlaa;1976;0;0;importacao_vinhos_de_mesa
israel;1976;0;0;importacao_vinhos_de_mesa
italia;1976;276633;304377;importacao_vinhos_de_mesa
japao;1976;0;0;importacao_vinhos_de_mesa
iugoslavia;1976;1870;2100;importacao_vinhos_de_mesa
libano;1976;0;0;importacao_vinhos_de_mesa
luxemburgo;1976;0;0;importacao_vinhos_de_mesa
macedonia;1976;0;0;importacao_vinhos_de_mesa
marrocos;1976;0;0;importacao_vinhos_de_mesa
mexico;1976;0;0;importacao_vinhos_de_mesa
moldavia;1976;0;0;importacao_vinhos_de_mesa
montenegro;1976;0;0;importacao_vinhos_de_mesa
noruega;1976;0;0;importacao_vinhos_de_mesa
nova zelaia;1976;0;0;importacao_vinhos_de_mesa
paises baixos _holaa;1976;0;0;importacao_vinhos_de_mesa
panama;1976;0;0;importacao_vinhos_de_mesa
peru;1976;0;0;importacao_vinhos_de_mesa
porto rico;1976;0;0;importacao_vinhos_de_mesa
portugal;1976;1872573;2284423;importacao_vinhos_de_mesa
reino unido;1976;0;0;importacao_vinhos_de_mesa
republica dominicana;1976;0;0;importacao_vinhos_de_mesa
romênia;1976;0;0;importacao_vinhos_de_mesa
russia;1976;0;0;importacao_vinhos_de_mesa
san marino;1976;0;0;importacao_vinhos_de_mesa
servia;1976;0;0;importacao_vinhos_de_mesa
siria;1976;0;0;importacao_vinhos_de_mesa
suazilaia;1976;0;0;importacao_vinhos_de_mesa
suica;1976;0;0;importacao_vinhos_de_mesa
tcheca, republica;1976;0;0;importacao_vinhos_de_mesa
tunisia;1976;0;0;importacao_vinhos_de_mesa
turquia;1976;0;0;importacao_vinhos_de_mesa
ucrania;1976;0;0;importacao_vinhos_de_mesa
uruguai;1976;0;0;importacao_vinhos_de_mesa
nao consta na tabela;1976;0;0;importacao_vinhos_de_mesa
nao declarados;1976;0;0;importacao_vinhos_de_mesa
outros;1976;7884;10200;importacao_vinhos_de_mesa
africa do sul;1977;0;0;importacao_vinhos_de_mesa
alemanha;1977;201840;160926;importacao_vinhos_de_mesa
argelia;1977;0;0;importacao_vinhos_de_mesa
arabia saudita;1977;0;0;importacao_vinhos_de_mesa
argentina;1977;395615;408399;importacao_vinhos_de_mesa
armênia;1977;0;0;importacao_vinhos_de_mesa
australia;1977;0;0;importacao_vinhos_de_mesa
austria;1977;0;0;importacao_vinhos_de_mesa
bermudas;1977;0;0;importacao_vinhos_de_mesa
belgica;1977;0;0;importacao_vinhos_de_mesa
bolivia;1977;0;0;importacao_vinhos_de_mesa
bosnia-herzegovina;1977;0;0;importacao_vinhos_de_mesa
brasil;1977;0;0;importacao_vinhos_de_mesa
bulgaria;1977;0;0;importacao_vinhos_de_mesa
canada;1977;0;0;importacao_vinhos_de_mesa
chile;1977;1962448;2593464;importacao_vinhos_de_mesa
china;1977;0;0;importacao_vinhos_de_mesa
coreia do sul, republica;1977;0;0;importacao_vinhos_de_mesa
croacia;1977;0;0;importacao_vinhos_de_mesa
cuba;1977;0;0;importacao_vinhos_de_mesa
emirados arabes unidos;1977;0;0;importacao_vinhos_de_mesa
eslovênia;1977;0;0;importacao_vinhos_de_mesa
eslovaquia;1977;0;0;importacao_vinhos_de_mesa
